iban,type,Balance,openingsDate,company,accountmanager
NL35BEEH0010000031,BUSINESS_CH,0,11-09-2009,82840589,tfdyqvpns
NL08BEEH0010000032,BUSINESS_SV,0,11-09-2009,82840589,tfdyqvpns
NL78BEEH0010000033,BUSINESS_CH,0,11-09-2009,55410507,tfdyqvpns
NL51BEEH0010000034,BUSINESS_CH,0,11-09-2009,77093455,tfdyqvpns
NL24BEEH0010000035,BUSINESS_CH,0,11-09-2009,49788214,tfdyqvpns
NL94BEEH0010000036,BUSINESS_CH,0,11-09-2009,49788214,tfdyqvpns
NL67BEEH0010000037,BUSINESS_CH,0,11-09-2009,63846431,tfdyqvpns
NL40BEEH0010000038,BUSINESS_CH,0,11-09-2009,63846431,tfdyqvpns
NL13BEEH0010000039,BUSINESS_CH,0,11-09-2009,63846431,tfdyqvpns
NL83BEEH0010000040,BUSINESS_SV,0,11-09-2009,63846431,tfdyqvpns
NL56BEEH0010000041,BUSINESS_CH,0,11-09-2009,73271563,tfdyqvpns
NL29BEEH0010000042,BUSINESS_SV,0,11-09-2009,73271563,tfdyqvpns
NL02BEEH0010000043,BUSINESS_CH,0,11-09-2009,97968834,tfdyqvpns
NL72BEEH0010000044,BUSINESS_SV,0,11-09-2009,97968834,tfdyqvpns
NL45BEEH0010000045,BUSINESS_CH,0,11-09-2009,29586503,tfdyqvpns
NL18BEEH0010000046,BUSINESS_SV,0,11-09-2009,29586503,tfdyqvpns
NL88BEEH0010000047,BUSINESS_CH,0,11-09-2009,69836651,tfdyqvpns
NL61BEEH0010000048,BUSINESS_CH,0,11-09-2009,92305704,tfdyqvpns
NL34BEEH0010000049,BUSINESS_CH,0,11-09-2009,92305704,tfdyqvpns
NL07BEEH0010000050,BUSINESS_CH,0,11-09-2009,92305704,tfdyqvpns
NL77BEEH0010000051,BUSINESS_CH,0,11-09-2009,68247518,tfdyqvpns
NL50BEEH0010000052,BUSINESS_SV,0,11-09-2009,68247518,tfdyqvpns
NL23BEEH0010000053,BUSINESS_CH,0,11-09-2009,52463963,tfdyqvpns
NL93BEEH0010000054,BUSINESS_CH,0,11-09-2009,52463963,tfdyqvpns
NL66BEEH0010000055,BUSINESS_SV,0,11-09-2009,52463963,tfdyqvpns
NL39BEEH0010000056,BUSINESS_CH,0,11-09-2009,90582198,tfdyqvpns
NL12BEEH0010000057,BUSINESS_CH,0,11-09-2009,90582198,tfdyqvpns
NL82BEEH0010000058,BUSINESS_CH,0,11-09-2009,68950949,tfdyqvpns
NL55BEEH0010000059,BUSINESS_CH,0,11-09-2009,68950949,tfdyqvpns
NL28BEEH0010000060,BUSINESS_CH,0,11-09-2009,68950949,tfdyqvpns
NL98BEEH0010000061,BUSINESS_CH,0,11-09-2009,47879445,lrgbxekhn
NL71BEEH0010000062,BUSINESS_CH,0,11-09-2009,47879445,lrgbxekhn
NL44BEEH0010000063,BUSINESS_CH,0,11-09-2009,47879445,lrgbxekhn
NL17BEEH0010000064,BUSINESS_CH,0,11-09-2009,27823861,lrgbxekhn
NL87BEEH0010000065,BUSINESS_CH,0,11-09-2009,27823861,lrgbxekhn
NL60BEEH0010000066,BUSINESS_CH,0,11-09-2009,27823861,lrgbxekhn
NL33BEEH0010000067,BUSINESS_SV,0,11-09-2009,27823861,lrgbxekhn
NL06BEEH0010000068,BUSINESS_CH,0,11-09-2009,24387947,lrgbxekhn
NL76BEEH0010000069,BUSINESS_CH,0,11-09-2009,24387947,lrgbxekhn
NL49BEEH0010000070,BUSINESS_CH,0,11-09-2009,24387947,lrgbxekhn
NL22BEEH0010000071,BUSINESS_SV,0,11-09-2009,24387947,lrgbxekhn
NL92BEEH0010000072,BUSINESS_CH,0,11-09-2009,75640000,lrgbxekhn
NL65BEEH0010000073,BUSINESS_CH,0,11-09-2009,75640000,lrgbxekhn
NL38BEEH0010000074,BUSINESS_CH,0,11-09-2009,75640000,lrgbxekhn
NL11BEEH0010000075,BUSINESS_CH,0,11-09-2009,39510565,lrgbxekhn
NL81BEEH0010000076,BUSINESS_CH,0,11-09-2009,14543778,lrgbxekhn
NL54BEEH0010000077,BUSINESS_CH,0,11-09-2009,14543778,lrgbxekhn
NL27BEEH0010000078,BUSINESS_CH,0,11-09-2009,26929990,lrgbxekhn
NL97BEEH0010000079,BUSINESS_CH,0,11-09-2009,26929990,lrgbxekhn
NL70BEEH0010000080,BUSINESS_CH,0,11-09-2009,54498972,lrgbxekhn
NL43BEEH0010000081,BUSINESS_CH,0,11-09-2009,54498972,lrgbxekhn
NL16BEEH0010000082,BUSINESS_CH,0,11-09-2009,54498972,lrgbxekhn
NL86BEEH0010000083,BUSINESS_CH,0,11-09-2009,91815222,lrgbxekhn
NL59BEEH0010000084,BUSINESS_CH,0,11-09-2009,91815222,lrgbxekhn
NL32BEEH0010000085,BUSINESS_SV,0,11-09-2009,91815222,lrgbxekhn
NL05BEEH0010000086,BUSINESS_CH,0,11-09-2009,10338435,lrgbxekhn
NL75BEEH0010000087,BUSINESS_CH,0,11-09-2009,65432220,lrgbxekhn
NL48BEEH0010000088,BUSINESS_CH,0,11-09-2009,31750890,lrgbxekhn
NL21BEEH0010000089,BUSINESS_CH,0,11-09-2009,31750890,lrgbxekhn
NL91BEEH0010000090,BUSINESS_CH,0,11-09-2009,31750890,lrgbxekhn
NL64BEEH0010000091,BUSINESS_CH,0,11-09-2009,30429261,lrgbxekhn
NL37BEEH0010000092,BUSINESS_CH,0,11-09-2009,30429261,lrgbxekhn
NL10BEEH0010000093,BUSINESS_CH,0,11-09-2009,30429261,lrgbxekhn
NL80BEEH0010000094,BUSINESS_SV,0,11-09-2009,30429261,lrgbxekhn
NL53BEEH0010000095,BUSINESS_CH,0,11-09-2009,94301628,lrgbxekhn
NL26BEEH0010000096,BUSINESS_CH,0,11-09-2009,94301628,lrgbxekhn
NL96BEEH0010000097,BUSINESS_CH,0,11-09-2009,94301628,lrgbxekhn
NL69BEEH0010000098,BUSINESS_SV,0,11-09-2009,94301628,lrgbxekhn
NL42BEEH0010000099,BUSINESS_CH,0,11-09-2009,25436759,lrgbxekhn
NL15BEEH0010000100,BUSINESS_CH,0,11-09-2009,25436759,lrgbxekhn
NL85BEEH0010000101,BUSINESS_CH,0,11-09-2009,52546962,lrgbxekhn
NL58BEEH0010000102,BUSINESS_CH,0,11-09-2009,52546962,lrgbxekhn
NL31BEEH0010000103,BUSINESS_CH,0,11-09-2009,52546962,lrgbxekhn
NL04BEEH0010000104,BUSINESS_CH,0,11-09-2009,89408428,lrgbxekhn
NL74BEEH0010000105,BUSINESS_SV,0,11-09-2009,89408428,lrgbxekhn
NL47BEEH0010000106,BUSINESS_CH,0,11-09-2009,22341538,lrgbxekhn
NL20BEEH0010000107,BUSINESS_CH,0,11-09-2009,22341538,lrgbxekhn
NL90BEEH0010000108,BUSINESS_CH,0,11-09-2009,22341538,lrgbxekhn
NL63BEEH0010000109,BUSINESS_CH,0,11-09-2009,56004840,lrgbxekhn
NL36BEEH0010000110,BUSINESS_CH,0,11-09-2009,56004840,lrgbxekhn
NL09BEEH0010000111,BUSINESS_CH,0,11-09-2009,41753692,lrgbxekhn
NL79BEEH0010000112,BUSINESS_CH,0,11-09-2009,23496583,lrgbxekhn
NL52BEEH0010000113,BUSINESS_CH,0,11-09-2009,15057068,lrgbxekhn
NL25BEEH0010000114,BUSINESS_CH,0,11-09-2009,15057068,lrgbxekhn
NL95BEEH0010000115,BUSINESS_CH,0,11-09-2009,15057068,lrgbxekhn
NL68BEEH0010000116,BUSINESS_CH,0,11-09-2009,30482518,lrgbxekhn
NL41BEEH0010000117,BUSINESS_CH,0,11-09-2009,30482518,lrgbxekhn
NL14BEEH0010000118,BUSINESS_SV,0,11-09-2009,30482518,lrgbxekhn
NL84BEEH0010000119,BUSINESS_CH,0,11-09-2009,49132504,lrgbxekhn
NL57BEEH0010000120,BUSINESS_SV,0,11-09-2009,49132504,lrgbxekhn
NL30BEEH0010000121,BUSINESS_CH,0,11-09-2009,33493911,lrgbxekhn
NL03BEEH0010000122,BUSINESS_CH,0,11-09-2009,33493911,lrgbxekhn
NL73BEEH0010000123,BUSINESS_CH,0,11-09-2009,15099892,lrgbxekhn
NL46BEEH0010000124,BUSINESS_SV,0,11-09-2009,15099892,lrgbxekhn
NL19BEEH0010000125,BUSINESS_CH,0,11-09-2009,79415598,kfusipnec
NL89BEEH0010000126,BUSINESS_CH,0,11-09-2009,70905134,kfusipnec
NL62BEEH0010000127,BUSINESS_CH,0,11-09-2009,70905134,kfusipnec
NL35BEEH0010000128,BUSINESS_CH,0,11-09-2009,89635947,kfusipnec
NL08BEEH0010000129,BUSINESS_CH,0,11-09-2009,89635947,kfusipnec
NL78BEEH0010000130,BUSINESS_SV,0,11-09-2009,89635947,kfusipnec
NL51BEEH0010000131,BUSINESS_CH,0,11-09-2009,61957888,kfusipnec
NL24BEEH0010000132,BUSINESS_CH,0,11-09-2009,61957888,kfusipnec
NL94BEEH0010000133,BUSINESS_CH,0,11-09-2009,66991602,kfusipnec
NL67BEEH0010000134,BUSINESS_CH,0,11-09-2009,66991602,kfusipnec
NL40BEEH0010000135,BUSINESS_CH,0,11-09-2009,66991602,kfusipnec
NL13BEEH0010000136,BUSINESS_SV,0,11-09-2009,66991602,kfusipnec
NL83BEEH0010000137,BUSINESS_CH,0,11-09-2009,47402012,kfusipnec
NL56BEEH0010000138,BUSINESS_CH,0,11-09-2009,47402012,kfusipnec
NL29BEEH0010000139,BUSINESS_CH,0,11-09-2009,65304198,kfusipnec
NL02BEEH0010000140,BUSINESS_CH,0,11-09-2009,65304198,kfusipnec
NL72BEEH0010000141,BUSINESS_CH,0,11-09-2009,77885108,kfusipnec
NL45BEEH0010000142,BUSINESS_CH,0,11-09-2009,77885108,kfusipnec
NL18BEEH0010000143,BUSINESS_CH,0,11-09-2009,77885108,kfusipnec
NL88BEEH0010000144,BUSINESS_SV,0,11-09-2009,77885108,kfusipnec
NL61BEEH0010000145,BUSINESS_CH,0,11-09-2009,14456316,kfusipnec
NL34BEEH0010000146,BUSINESS_CH,0,11-09-2009,16834746,kfusipnec
NL07BEEH0010000147,BUSINESS_CH,0,11-09-2009,16834746,kfusipnec
NL77BEEH0010000148,BUSINESS_CH,0,11-09-2009,27901034,kfusipnec
NL50BEEH0010000149,BUSINESS_CH,0,11-09-2009,73633990,kfusipnec
NL23BEEH0010000150,BUSINESS_CH,0,11-09-2009,73633990,kfusipnec
NL93BEEH0010000151,BUSINESS_SV,0,11-09-2009,73633990,kfusipnec
NL66BEEH0010000152,BUSINESS_CH,0,11-09-2009,47476918,kfusipnec
NL39BEEH0010000153,BUSINESS_SV,0,11-09-2009,47476918,kfusipnec
NL12BEEH0010000154,BUSINESS_CH,0,11-09-2009,26844521,kfusipnec
NL82BEEH0010000155,BUSINESS_CH,0,11-09-2009,26844521,kfusipnec
NL55BEEH0010000156,BUSINESS_SV,0,11-09-2009,26844521,kfusipnec
NL28BEEH0010000157,BUSINESS_CH,0,11-09-2009,79186332,kfusipnec
NL98BEEH0010000158,BUSINESS_SV,0,11-09-2009,79186332,kfusipnec
NL71BEEH0010000159,BUSINESS_CH,0,11-09-2009,83639048,kfusipnec
NL44BEEH0010000160,BUSINESS_CH,0,11-09-2009,83639048,kfusipnec
NL17BEEH0010000161,BUSINESS_CH,0,11-09-2009,83639048,kfusipnec
NL87BEEH0010000162,BUSINESS_SV,0,11-09-2009,83639048,kfusipnec
NL60BEEH0010000163,BUSINESS_CH,0,11-09-2009,86579588,kfusipnec
NL33BEEH0010000164,BUSINESS_CH,0,11-09-2009,86579588,kfusipnec
NL06BEEH0010000165,BUSINESS_CH,0,11-09-2009,86579588,kfusipnec
NL76BEEH0010000166,BUSINESS_CH,0,11-09-2009,25864006,kfusipnec
NL49BEEH0010000167,BUSINESS_CH,0,11-09-2009,25864006,kfusipnec
NL22BEEH0010000168,BUSINESS_SV,0,11-09-2009,25864006,kfusipnec
NL92BEEH0010000169,BUSINESS_CH,0,11-09-2009,66836930,kfusipnec
NL65BEEH0010000170,BUSINESS_CH,0,11-09-2009,69011110,kfusipnec
NL38BEEH0010000171,BUSINESS_SV,0,11-09-2009,69011110,kfusipnec
NL11BEEH0010000172,BUSINESS_CH,0,11-09-2009,66792818,kfusipnec
NL81BEEH0010000173,BUSINESS_CH,0,11-09-2009,15654016,kfusipnec
NL54BEEH0010000174,BUSINESS_SV,0,11-09-2009,15654016,kfusipnec
NL27BEEH0010000175,BUSINESS_CH,0,11-09-2009,57455728,kfusipnec
NL97BEEH0010000176,BUSINESS_CH,0,11-09-2009,57455728,kfusipnec
NL70BEEH0010000177,BUSINESS_CH,0,11-09-2009,57455728,kfusipnec
NL43BEEH0010000178,BUSINESS_SV,0,11-09-2009,57455728,kfusipnec
NL16BEEH0010000179,BUSINESS_CH,0,11-09-2009,99942114,kfusipnec
NL86BEEH0010000180,BUSINESS_CH,0,11-09-2009,99942114,kfusipnec
NL59BEEH0010000181,BUSINESS_CH,0,11-09-2009,99942114,kfusipnec
NL32BEEH0010000182,BUSINESS_SV,0,11-09-2009,99942114,kfusipnec
NL05BEEH0010000183,BUSINESS_CH,0,11-09-2009,58716916,kfusipnec
NL75BEEH0010000184,BUSINESS_CH,0,11-09-2009,58716916,kfusipnec
NL48BEEH0010000185,BUSINESS_CH,0,11-09-2009,98093323,kfusipnec
NL21BEEH0010000186,BUSINESS_CH,0,11-09-2009,14787623,nbqtcjjws
NL91BEEH0010000187,BUSINESS_CH,0,11-09-2009,14787623,nbqtcjjws
NL64BEEH0010000188,BUSINESS_SV,0,11-09-2009,14787623,nbqtcjjws
NL37BEEH0010000189,BUSINESS_CH,0,11-09-2009,23935077,nbqtcjjws
NL10BEEH0010000190,BUSINESS_CH,0,11-09-2009,23935077,nbqtcjjws
NL80BEEH0010000191,BUSINESS_CH,0,11-09-2009,23935077,nbqtcjjws
NL53BEEH0010000192,BUSINESS_CH,0,11-09-2009,18054892,nbqtcjjws
NL26BEEH0010000193,BUSINESS_CH,0,11-09-2009,18054892,nbqtcjjws
NL96BEEH0010000194,BUSINESS_CH,0,11-09-2009,13269371,nbqtcjjws
NL69BEEH0010000195,BUSINESS_CH,0,11-09-2009,13269371,nbqtcjjws
NL42BEEH0010000196,BUSINESS_CH,0,11-09-2009,13269371,nbqtcjjws
NL15BEEH0010000197,BUSINESS_CH,0,11-09-2009,62337586,nbqtcjjws
NL85BEEH0010000198,BUSINESS_CH,0,11-09-2009,62337586,nbqtcjjws
NL58BEEH0010000199,BUSINESS_CH,0,11-09-2009,76991258,nbqtcjjws
NL31BEEH0010000200,BUSINESS_CH,0,11-09-2009,76991258,nbqtcjjws
NL04BEEH0010000201,BUSINESS_SV,0,11-09-2009,76991258,nbqtcjjws
NL74BEEH0010000202,BUSINESS_CH,0,11-09-2009,87104932,nbqtcjjws
NL47BEEH0010000203,BUSINESS_CH,0,11-09-2009,87104932,nbqtcjjws
NL20BEEH0010000204,BUSINESS_CH,0,11-09-2009,22242943,nbqtcjjws
NL90BEEH0010000205,BUSINESS_CH,0,11-09-2009,22242943,nbqtcjjws
NL63BEEH0010000206,BUSINESS_CH,0,11-09-2009,22242943,nbqtcjjws
NL36BEEH0010000207,BUSINESS_CH,0,11-09-2009,80245923,nbqtcjjws
NL09BEEH0010000208,BUSINESS_CH,0,11-09-2009,80245923,nbqtcjjws
NL79BEEH0010000209,BUSINESS_CH,0,11-09-2009,48142350,nbqtcjjws
NL52BEEH0010000210,BUSINESS_CH,0,11-09-2009,27959568,nbqtcjjws
NL25BEEH0010000211,BUSINESS_SV,0,11-09-2009,27959568,nbqtcjjws
NL95BEEH0010000212,BUSINESS_CH,0,11-09-2009,21822312,nbqtcjjws
NL68BEEH0010000213,BUSINESS_CH,0,11-09-2009,21822312,nbqtcjjws
NL41BEEH0010000214,BUSINESS_CH,0,11-09-2009,25408613,nbqtcjjws
NL14BEEH0010000215,BUSINESS_CH,0,11-09-2009,41299799,nbqtcjjws
NL84BEEH0010000216,BUSINESS_CH,0,11-09-2009,19855481,nbqtcjjws
NL57BEEH0010000217,BUSINESS_CH,0,11-09-2009,92220232,nbqtcjjws
NL30BEEH0010000218,BUSINESS_SV,0,11-09-2009,92220232,nbqtcjjws
NL03BEEH0010000219,BUSINESS_CH,0,11-09-2009,98471813,nbqtcjjws
NL73BEEH0010000220,BUSINESS_CH,0,11-09-2009,98471813,nbqtcjjws
NL46BEEH0010000221,BUSINESS_SV,0,11-09-2009,98471813,nbqtcjjws
NL19BEEH0010000222,BUSINESS_CH,0,11-09-2009,71376217,nbqtcjjws
NL89BEEH0010000223,BUSINESS_CH,0,11-09-2009,71376217,nbqtcjjws
NL62BEEH0010000224,BUSINESS_CH,0,11-09-2009,71376217,nbqtcjjws
NL35BEEH0010000225,BUSINESS_CH,0,11-09-2009,19444780,nbqtcjjws
NL08BEEH0010000226,BUSINESS_CH,0,11-09-2009,19444780,nbqtcjjws
NL78BEEH0010000227,BUSINESS_CH,0,11-09-2009,19444780,nbqtcjjws
NL51BEEH0010000228,BUSINESS_CH,0,11-09-2009,73717047,nbqtcjjws
NL24BEEH0010000229,BUSINESS_CH,0,11-09-2009,73717047,nbqtcjjws
NL94BEEH0010000230,BUSINESS_CH,0,11-09-2009,73717047,nbqtcjjws
NL67BEEH0010000231,BUSINESS_CH,0,11-09-2009,38907971,nbqtcjjws
NL40BEEH0010000232,BUSINESS_CH,0,11-09-2009,38907971,nbqtcjjws
NL13BEEH0010000233,BUSINESS_CH,0,11-09-2009,87846362,nbqtcjjws
NL83BEEH0010000234,BUSINESS_CH,0,11-09-2009,56098805,nbqtcjjws
NL56BEEH0010000235,BUSINESS_CH,0,11-09-2009,56098805,nbqtcjjws
NL29BEEH0010000236,BUSINESS_CH,0,11-09-2009,35239496,nbqtcjjws
NL02BEEH0010000237,BUSINESS_CH,0,11-09-2009,35239496,nbqtcjjws
NL72BEEH0010000238,BUSINESS_CH,0,11-09-2009,73968765,nbqtcjjws
NL45BEEH0010000239,BUSINESS_SV,0,11-09-2009,73968765,nbqtcjjws
NL18BEEH0010000240,BUSINESS_CH,0,11-09-2009,49579261,nbqtcjjws
NL88BEEH0010000241,BUSINESS_CH,0,11-09-2009,49579261,nbqtcjjws
NL61BEEH0010000242,BUSINESS_SV,0,11-09-2009,49579261,nbqtcjjws
NL34BEEH0010000243,BUSINESS_CH,0,11-09-2009,92091337,ageppjliq
NL07BEEH0010000244,BUSINESS_CH,0,11-09-2009,92091337,ageppjliq
NL77BEEH0010000245,BUSINESS_CH,0,11-09-2009,79472608,ageppjliq
NL50BEEH0010000246,BUSINESS_CH,0,11-09-2009,79472608,ageppjliq
NL23BEEH0010000247,BUSINESS_SV,0,11-09-2009,79472608,ageppjliq
NL93BEEH0010000248,BUSINESS_CH,0,11-09-2009,85759208,ageppjliq
NL66BEEH0010000249,BUSINESS_SV,0,11-09-2009,85759208,ageppjliq
NL39BEEH0010000250,BUSINESS_CH,0,11-09-2009,58441967,ageppjliq
NL12BEEH0010000251,BUSINESS_CH,0,11-09-2009,58441967,ageppjliq
NL82BEEH0010000252,BUSINESS_CH,0,11-09-2009,58441967,ageppjliq
NL55BEEH0010000253,BUSINESS_CH,0,11-09-2009,63231886,ageppjliq
NL28BEEH0010000254,BUSINESS_CH,0,11-09-2009,86877159,ageppjliq
NL98BEEH0010000255,BUSINESS_CH,0,11-09-2009,86877159,ageppjliq
NL71BEEH0010000256,BUSINESS_SV,0,11-09-2009,86877159,ageppjliq
NL44BEEH0010000257,BUSINESS_CH,0,11-09-2009,68178541,ageppjliq
NL17BEEH0010000258,BUSINESS_CH,0,11-09-2009,68178541,ageppjliq
NL87BEEH0010000259,BUSINESS_CH,0,11-09-2009,68178541,ageppjliq
NL60BEEH0010000260,BUSINESS_CH,0,11-09-2009,61464168,ageppjliq
NL33BEEH0010000261,BUSINESS_CH,0,11-09-2009,36858422,ageppjliq
NL06BEEH0010000262,BUSINESS_CH,0,11-09-2009,80463474,ageppjliq
NL76BEEH0010000263,BUSINESS_CH,0,11-09-2009,80463474,ageppjliq
NL49BEEH0010000264,BUSINESS_CH,0,11-09-2009,80463474,ageppjliq
NL22BEEH0010000265,BUSINESS_SV,0,11-09-2009,80463474,ageppjliq
NL92BEEH0010000266,BUSINESS_CH,0,11-09-2009,74762985,ageppjliq
NL65BEEH0010000267,BUSINESS_CH,0,11-09-2009,74762985,ageppjliq
NL38BEEH0010000268,BUSINESS_CH,0,11-09-2009,86766476,ageppjliq
NL11BEEH0010000269,BUSINESS_SV,0,11-09-2009,86766476,ageppjliq
NL81BEEH0010000270,BUSINESS_CH,0,11-09-2009,44258126,ageppjliq
NL54BEEH0010000271,BUSINESS_CH,0,11-09-2009,44258126,ageppjliq
NL27BEEH0010000272,BUSINESS_CH,0,11-09-2009,44258126,ageppjliq
NL97BEEH0010000273,BUSINESS_SV,0,11-09-2009,44258126,ageppjliq
NL70BEEH0010000274,BUSINESS_CH,0,11-09-2009,40074836,ageppjliq
NL43BEEH0010000275,BUSINESS_CH,0,11-09-2009,40074836,ageppjliq
NL16BEEH0010000276,BUSINESS_CH,0,11-09-2009,40074836,ageppjliq
NL86BEEH0010000277,BUSINESS_SV,0,11-09-2009,40074836,ageppjliq
NL59BEEH0010000278,BUSINESS_CH,0,11-09-2009,36675825,ageppjliq
NL32BEEH0010000279,BUSINESS_CH,0,11-09-2009,36675825,ageppjliq
NL05BEEH0010000280,BUSINESS_CH,0,11-09-2009,36675825,ageppjliq
NL75BEEH0010000281,BUSINESS_SV,0,11-09-2009,36675825,ageppjliq
NL48BEEH0010000282,BUSINESS_CH,0,11-09-2009,54309203,ageppjliq
NL21BEEH0010000283,BUSINESS_CH,0,11-09-2009,54309203,ageppjliq
NL91BEEH0010000284,BUSINESS_CH,0,11-09-2009,54309203,ageppjliq
NL64BEEH0010000285,BUSINESS_SV,0,11-09-2009,54309203,ageppjliq
NL37BEEH0010000286,BUSINESS_CH,0,11-09-2009,29583669,ageppjliq
NL10BEEH0010000287,BUSINESS_CH,0,11-09-2009,29583669,ageppjliq
NL80BEEH0010000288,BUSINESS_CH,0,11-09-2009,29583669,ageppjliq
NL53BEEH0010000289,BUSINESS_SV,0,11-09-2009,29583669,ageppjliq
NL26BEEH0010000290,BUSINESS_CH,0,11-09-2009,55871294,ageppjliq
NL96BEEH0010000291,BUSINESS_SV,0,11-09-2009,55871294,ageppjliq
NL69BEEH0010000292,BUSINESS_CH,0,11-09-2009,42167122,ageppjliq
NL42BEEH0010000293,BUSINESS_CH,0,11-09-2009,42167122,ageppjliq
NL15BEEH0010000294,BUSINESS_CH,0,11-09-2009,32257009,ageppjliq
NL85BEEH0010000295,BUSINESS_CH,0,11-09-2009,32257009,ageppjliq
NL58BEEH0010000296,BUSINESS_CH,0,11-09-2009,32257009,ageppjliq
NL31BEEH0010000297,BUSINESS_SV,0,11-09-2009,32257009,ageppjliq
NL04BEEH0010000298,BUSINESS_CH,0,11-09-2009,28060615,ageppjliq
NL74BEEH0010000299,BUSINESS_CH,0,11-09-2009,28060615,ageppjliq
NL47BEEH0010000300,BUSINESS_CH,0,11-09-2009,28060615,ageppjliq
NL20BEEH0010000301,BUSINESS_CH,0,11-09-2009,46281424,ageppjliq
NL90BEEH0010000302,BUSINESS_CH,0,11-09-2009,46281424,ageppjliq
NL63BEEH0010000303,BUSINESS_CH,0,11-09-2009,90311198,ageppjliq
NL36BEEH0010000304,BUSINESS_SV,0,11-09-2009,90311198,ageppjliq
NL09BEEH0010000305,BUSINESS_CH,0,11-09-2009,99962548,ageppjliq
NL79BEEH0010000306,BUSINESS_CH,0,11-09-2009,99962548,ageppjliq
NL52BEEH0010000307,BUSINESS_CH,0,11-09-2009,99962548,ageppjliq
NL25BEEH0010000308,BUSINESS_SV,0,11-09-2009,99962548,ageppjliq
NL95BEEH0010000309,BUSINESS_CH,0,11-09-2009,14694046,ageppjliq
NL68BEEH0010000310,BUSINESS_CH,0,11-09-2009,14694046,ageppjliq
NL41BEEH0010000311,BUSINESS_CH,0,11-09-2009,16090360,ageppjliq
NL14BEEH0010000312,BUSINESS_CH,0,11-09-2009,43397262,jfcfhzdxy
NL84BEEH0010000313,BUSINESS_CH,0,11-09-2009,43397262,jfcfhzdxy
NL57BEEH0010000314,BUSINESS_CH,0,11-09-2009,43397262,jfcfhzdxy
NL30BEEH0010000315,BUSINESS_SV,0,11-09-2009,43397262,jfcfhzdxy
