inAccount,outAccount,amount,description,date,type
NL15BEEH0010000003,NL55GELD3859628216,441.8,jajajaj,08-34-13-09-2019,Online bankieren
NL15BEEH0010000003,NL77GELD8158598659,273.45,jajajaj,02-06-13-09-2019,Online bankieren
NL15BEEH0010000003,NL75GELD3175762142,178.08,jajajaj,07-52-21-05-2018,Online bankieren
NL15BEEH0010000003,NL61GELD7455324794,694.22,jajajaj,10-28-27-02-2018,Online bankieren
NL15BEEH0010000003,NL61GELD7455324794,856.54,jajajaj,09-36-25-05-2019,Online bankieren
NL15BEEH0010000003,NL76GELD7252785614,868.22,jajajaj,10-33-11-01-2019,Online bankieren
NL15BEEH0010000003,NL45GELD2953919317,846.29,jajajaj,14-59-22-03-2018,Online bankieren
NL15BEEH0010000003,NL92GELD8037356925,834.33,jajajaj,07-02-28-12-2018,Online bankieren
NL15BEEH0010000003,NL62GELD6375239767,412.61,jajajaj,03-27-21-03-2018,Online bankieren
NL15BEEH0010000003,NL92GELD8037356925,151.59,jajajaj,02-49-14-04-2018,Online bankieren
NL15BEEH0010000003,NL76GELD7252785614,847.99,jajajaj,19-28-11-04-2019,Online bankieren
NL15BEEH0010000003,NL95GELD6279133125,329.74,jajajaj,19-42-25-05-2019,Online bankieren
NL15BEEH0010000003,NL92GELD8037356925,844.09,jajajaj,06-07-15-10-2018,Online bankieren
NL85BEEH0010000004,NL92GELD8037356925,496.15,jajajaj,16-24-14-05-2019,Online bankieren
NL85BEEH0010000004,NL04GELD4811557161,325.32,jajajaj,02-43-10-09-2018,Online bankieren
NL85BEEH0010000004,NL04GELD4811557161,778.23,jajajaj,02-05-19-04-2019,Online bankieren
NL85BEEH0010000004,NL04GELD4811557161,854.2,jajajaj,12-54-05-07-2019,Online bankieren
NL85BEEH0010000004,NL05GELD9994551159,856.89,jajajaj,08-29-01-04-2019,Online bankieren
NL85BEEH0010000004,NL77GELD1142882375,28.68,jajajaj,21-48-27-01-2019,Online bankieren
NL85BEEH0010000004,NL61GELD7455324794,503.73,jajajaj,11-59-26-03-2019,Online bankieren
NL85BEEH0010000004,NL67GELD2809687681,340.35,jajajaj,14-29-17-11-2018,Online bankieren
NL85BEEH0010000004,NL77GELD0692885116,789.64,jajajaj,06-22-15-07-2019,Online bankieren
NL85BEEH0010000004,NL56GELD4676822837,260.51,jajajaj,13-15-13-09-2019,Online bankieren
NL85BEEH0010000004,NL76GELD7252785614,141.47,jajajaj,18-55-04-05-2018,Online bankieren
NL85BEEH0010000004,NL35GELD0485561952,843.08,jajajaj,17-14-13-09-2019,Online bankieren
NL85BEEH0010000004,NL45GELD2953919317,523.78,jajajaj,05-11-07-02-2019,Online bankieren
NL85BEEH0010000004,NL92GELD8037356925,647.18,jajajaj,23-52-13-09-2019,Online bankieren
NL85BEEH0010000004,NL67GELD2809687681,392.34,jajajaj,14-03-28-07-2019,Online bankieren
NL58BEEH0010000005,NL13GELD4842992565,323.48,jajajaj,11-16-06-02-2019,Online bankieren
NL58BEEH0010000005,NL04GELD4811557161,700.56,jajajaj,23-21-13-09-2019,Online bankieren
NL58BEEH0010000005,NL04GELD4811557161,452.13,jajajaj,08-37-18-05-2019,Online bankieren
NL58BEEH0010000005,NL04GELD4811557161,214.31,jajajaj,06-45-03-02-2019,Online bankieren
NL58BEEH0010000005,NL76GELD7252785614,237.43,jajajaj,15-07-14-06-2018,Online bankieren
NL58BEEH0010000005,NL76GELD7252785614,374.05,jajajaj,08-31-26-03-2018,Online bankieren
NL58BEEH0010000005,NL76GELD7252785614,428.66,jajajaj,18-27-13-09-2019,Online bankieren
NL58BEEH0010000005,NL77GELD1142882375,467.65,jajajaj,23-32-22-12-2018,Online bankieren
NL58BEEH0010000005,NL61GELD7455324794,603.4,jajajaj,20-38-24-03-2018,Online bankieren
NL58BEEH0010000005,NL04GELD4811557161,688.75,jajajaj,20-33-13-09-2019,Online bankieren
NL58BEEH0010000005,NL92GELD8037356925,814.15,jajajaj,03-34-23-08-2018,Online bankieren
NL58BEEH0010000005,NL76GELD1811996735,348.7,jajajaj,06-37-25-08-2019,Online bankieren
NL58BEEH0010000005,NL55GELD3859628216,900.07,jajajaj,02-16-08-09-2018,Online bankieren
NL58BEEH0010000005,NL35GELD0485561952,696.27,jajajaj,07-17-04-02-2019,Online bankieren
NL58BEEH0010000005,NL61GELD7455324794,494.18,jajajaj,18-06-13-09-2019,Online bankieren
NL58BEEH0010000005,NL62GELD6375239767,983.82,jajajaj,18-52-02-08-2018,Online bankieren
NL58BEEH0010000005,NL45GELD2953919317,34.7,jajajaj,19-29-05-07-2018,Online bankieren
NL58BEEH0010000005,NL13GELD4842992565,262.55,jajajaj,06-07-13-03-2018,Online bankieren
NL58BEEH0010000005,NL13GELD4842992565,985.9,jajajaj,01-25-11-08-2019,Online bankieren
NL58BEEH0010000005,NL56GELD4676822837,584.65,jajajaj,19-06-22-09-2018,Online bankieren
NL58BEEH0010000005,NL62GELD6375239767,485.58,jajajaj,02-33-22-12-2018,Online bankieren
NL58BEEH0010000005,NL77GELD8158598659,365.63,jajajaj,23-50-15-05-2019,Online bankieren
NL58BEEH0010000005,NL92GELD8037356925,431.96,jajajaj,01-02-10-10-2018,Online bankieren
NL58BEEH0010000005,NL45GELD2953919317,644.04,jajajaj,13-19-22-10-2018,Online bankieren
NL58BEEH0010000005,NL77GELD0692885116,352.18,jajajaj,00-46-23-11-2018,Online bankieren
NL58BEEH0010000005,NL95GELD6279133125,182.09,jajajaj,12-01-19-07-2018,Online bankieren
NL58BEEH0010000005,NL77GELD1142882375,649.64,jajajaj,22-58-17-09-2018,Online bankieren
NL58BEEH0010000005,NL61GELD7455324794,831.88,jajajaj,07-36-08-08-2018,Online bankieren
NL58BEEH0010000005,NL67GELD2809687681,20.44,jajajaj,10-13-22-10-2018,Online bankieren
NL31BEEH0010000006,NL76GELD1811996735,725.45,jajajaj,15-13-13-09-2019,Online bankieren
NL31BEEH0010000006,NL35GELD9966193251,382.41,jajajaj,10-29-22-10-2018,Online bankieren
NL31BEEH0010000006,NL76GELD1811996735,436.18,jajajaj,21-39-03-05-2019,Online bankieren
NL31BEEH0010000006,NL35GELD9966193251,858.16,jajajaj,11-50-23-10-2018,Online bankieren
NL31BEEH0010000006,NL76GELD7252785614,695.93,jajajaj,17-57-13-09-2019,Online bankieren
NL31BEEH0010000006,NL76GELD1811996735,632.17,jajajaj,18-21-06-05-2019,Online bankieren
NL31BEEH0010000006,NL13GELD4842992565,964.51,jajajaj,19-27-08-05-2019,Online bankieren
NL31BEEH0010000006,NL69GELD8971642424,995.6,jajajaj,05-17-13-09-2019,Online bankieren
NL31BEEH0010000006,NL76GELD1811996735,674.0,jajajaj,19-11-13-05-2018,Online bankieren
NL31BEEH0010000006,NL77GELD8158598659,807.35,jajajaj,13-52-13-09-2019,Online bankieren
NL31BEEH0010000006,NL04GELD4811557161,35.75,jajajaj,15-02-16-10-2018,Online bankieren
NL31BEEH0010000006,NL04GELD4811557161,663.44,jajajaj,01-22-16-04-2019,Online bankieren
NL31BEEH0010000006,NL55GELD3859628216,739.77,jajajaj,09-05-21-12-2018,Online bankieren
NL04BEEH0010000007,NL35GELD9966193251,159.29,jajajaj,20-11-04-08-2019,Online bankieren
NL04BEEH0010000007,NL76GELD7252785614,440.37,jajajaj,12-53-07-04-2019,Online bankieren
NL04BEEH0010000007,NL77GELD0692885116,588.07,jajajaj,12-54-22-07-2019,Online bankieren
NL04BEEH0010000007,NL13GELD4842992565,399.4,jajajaj,22-33-11-12-2018,Online bankieren
NL04BEEH0010000007,NL76GELD1811996735,134.59,jajajaj,01-11-10-02-2018,Online bankieren
NL04BEEH0010000007,NL67GELD2809687681,880.16,jajajaj,14-02-14-07-2019,Online bankieren
NL04BEEH0010000007,NL77GELD8158598659,44.79,jajajaj,22-55-25-01-2018,Online bankieren
NL04BEEH0010000007,NL35GELD0485561952,878.21,jajajaj,18-34-05-05-2019,Online bankieren
NL04BEEH0010000007,NL04GELD4811557161,347.79,jajajaj,00-46-16-02-2019,Online bankieren
NL04BEEH0010000007,NL67GELD2809687681,959.69,jajajaj,12-23-17-07-2019,Online bankieren
NL04BEEH0010000007,NL05GELD9994551159,448.32,jajajaj,21-02-13-09-2019,Online bankieren
NL04BEEH0010000007,NL77GELD8158598659,38.46,jajajaj,00-37-08-06-2019,Online bankieren
NL04BEEH0010000007,NL04GELD4811557161,276.98,jajajaj,07-44-02-04-2018,Online bankieren
NL04BEEH0010000007,NL61GELD7455324794,833.95,jajajaj,01-53-20-11-2018,Online bankieren
NL04BEEH0010000007,NL35GELD0485561952,625.02,jajajaj,03-28-20-07-2018,Online bankieren
NL04BEEH0010000007,NL05GELD9994551159,168.34,jajajaj,16-13-13-01-2019,Online bankieren
NL04BEEH0010000007,NL67GELD2809687681,918.3,jajajaj,08-05-28-05-2018,Online bankieren
NL04BEEH0010000007,NL62GELD6375239767,823.35,jajajaj,12-57-02-06-2018,Online bankieren
NL04BEEH0010000007,NL35GELD9966193251,56.53,jajajaj,02-34-02-10-2018,Online bankieren
NL04BEEH0010000007,NL56GELD4676822837,803.91,jajajaj,21-10-02-10-2018,Online bankieren
NL04BEEH0010000007,NL04GELD4811557161,690.58,jajajaj,07-09-12-11-2018,Online bankieren
NL04BEEH0010000007,NL77GELD0692885116,608.16,jajajaj,03-33-01-03-2019,Online bankieren
NL04BEEH0010000007,NL05GELD9994551159,279.36,jajajaj,12-11-28-01-2018,Online bankieren
NL04BEEH0010000007,NL69GELD8971642424,477.8,jajajaj,16-09-18-05-2018,Online bankieren
NL04BEEH0010000007,NL95GELD6279133125,543.06,jajajaj,22-48-18-07-2018,Online bankieren
NL04BEEH0010000007,NL75GELD3175762142,930.69,jajajaj,22-13-26-08-2018,Online bankieren
NL04BEEH0010000007,NL55GELD3859628216,428.41,jajajaj,07-45-14-11-2018,Online bankieren
NL74BEEH0010000008,NL67GELD2809687681,189.42,jajajaj,16-24-27-02-2019,Online bankieren
NL74BEEH0010000008,NL77GELD1142882375,868.12,jajajaj,01-28-06-05-2019,Online bankieren
NL74BEEH0010000008,NL67GELD2809687681,119.46,jajajaj,18-08-27-06-2019,Online bankieren
NL74BEEH0010000008,NL76GELD7252785614,878.29,jajajaj,15-19-06-09-2018,Online bankieren
NL74BEEH0010000008,NL76GELD7252785614,82.72,jajajaj,05-48-06-01-2018,Online bankieren
NL74BEEH0010000008,NL55GELD3859628216,792.98,jajajaj,03-02-24-07-2018,Online bankieren
NL74BEEH0010000008,NL04GELD4811557161,149.49,jajajaj,19-03-11-03-2018,Online bankieren
NL74BEEH0010000008,NL67GELD2809687681,842.28,jajajaj,16-46-13-09-2019,Online bankieren
NL74BEEH0010000008,NL75GELD3175762142,818.89,jajajaj,15-33-11-02-2019,Online bankieren
NL74BEEH0010000008,NL77GELD0692885116,892.1,jajajaj,14-13-04-11-2018,Online bankieren
NL74BEEH0010000008,NL13GELD4842992565,787.75,jajajaj,12-06-15-03-2019,Online bankieren
NL74BEEH0010000008,NL92GELD8037356925,52.01,jajajaj,10-46-21-04-2018,Online bankieren
NL74BEEH0010000008,NL76GELD7252785614,737.02,jajajaj,14-03-18-09-2018,Online bankieren
NL74BEEH0010000008,NL35GELD9966193251,192.09,jajajaj,15-42-21-01-2018,Online bankieren
NL74BEEH0010000008,NL92GELD8037356925,576.74,jajajaj,07-41-13-09-2019,Online bankieren
NL74BEEH0010000008,NL35GELD9966193251,344.7,jajajaj,18-17-05-10-2018,Online bankieren
NL74BEEH0010000008,NL45GELD2953919317,259.39,jajajaj,07-41-07-12-2018,Online bankieren
NL74BEEH0010000008,NL77GELD8158598659,863.09,jajajaj,23-03-13-09-2019,Online bankieren
NL74BEEH0010000008,NL67GELD2809687681,855.03,jajajaj,06-42-02-09-2018,Online bankieren
NL74BEEH0010000008,NL92GELD8037356925,798.52,jajajaj,19-00-13-09-2019,Online bankieren
NL74BEEH0010000008,NL77GELD0692885116,614.55,jajajaj,13-53-27-01-2019,Online bankieren
NL74BEEH0010000008,NL67GELD2809687681,305.91,jajajaj,19-43-06-09-2018,Online bankieren
NL74BEEH0010000008,NL45GELD2953919317,457.17,jajajaj,13-23-14-03-2018,Online bankieren
NL74BEEH0010000008,NL04GELD4811557161,703.7,jajajaj,14-05-13-09-2019,Online bankieren
NL74BEEH0010000008,NL04GELD4811557161,73.4,jajajaj,23-50-03-08-2019,Online bankieren
NL74BEEH0010000008,NL69GELD8971642424,989.83,jajajaj,13-58-13-09-2019,Online bankieren
NL47BEEH0010000009,NL95GELD6279133125,867.42,jajajaj,03-37-15-01-2018,Online bankieren
NL47BEEH0010000009,NL13GELD4842992565,870.92,jajajaj,21-10-16-08-2019,Online bankieren
NL47BEEH0010000009,NL56GELD4676822837,97.32,jajajaj,22-39-13-09-2019,Online bankieren
NL47BEEH0010000009,NL92GELD8037356925,675.85,jajajaj,21-14-15-04-2019,Online bankieren
NL47BEEH0010000009,NL77GELD8158598659,958.87,jajajaj,11-46-23-07-2018,Online bankieren
NL47BEEH0010000009,NL61GELD7455324794,536.0,jajajaj,22-41-13-09-2019,Online bankieren
NL47BEEH0010000009,NL69GELD8971642424,120.25,jajajaj,21-14-13-09-2019,Online bankieren
NL47BEEH0010000009,NL76GELD1811996735,456.29,jajajaj,05-06-13-07-2018,Online bankieren
NL47BEEH0010000009,NL69GELD8971642424,181.99,jajajaj,05-49-02-03-2018,Online bankieren
NL47BEEH0010000009,NL69GELD8971642424,640.43,jajajaj,22-38-04-03-2018,Online bankieren
NL47BEEH0010000009,NL69GELD8971642424,191.21,jajajaj,20-34-13-09-2019,Online bankieren
NL47BEEH0010000009,NL45GELD2953919317,636.82,jajajaj,08-48-21-06-2018,Online bankieren
NL47BEEH0010000009,NL77GELD8158598659,537.57,jajajaj,18-07-27-04-2018,Online bankieren
NL47BEEH0010000009,NL55GELD3859628216,497.39,jajajaj,15-34-12-01-2018,Online bankieren
NL47BEEH0010000009,NL62GELD6375239767,932.56,jajajaj,21-52-13-09-2019,Online bankieren
NL47BEEH0010000009,NL77GELD0692885116,532.85,jajajaj,14-22-13-09-2019,Online bankieren
NL20BEEH0010000010,NL55GELD3859628216,899.49,jajajaj,06-04-13-09-2019,Online bankieren
NL20BEEH0010000010,NL04GELD4811557161,600.83,jajajaj,21-21-14-08-2019,Online bankieren
NL20BEEH0010000010,NL61GELD7455324794,340.27,jajajaj,18-58-15-10-2018,Online bankieren
NL20BEEH0010000010,NL61GELD7455324794,243.33,jajajaj,15-35-15-08-2018,Online bankieren
NL20BEEH0010000010,NL55GELD3859628216,910.11,jajajaj,20-44-15-12-2018,Online bankieren
NL20BEEH0010000010,NL45GELD2953919317,859.2,jajajaj,01-22-24-06-2018,Online bankieren
NL20BEEH0010000010,NL69GELD8971642424,734.43,jajajaj,10-21-13-09-2019,Online bankieren
NL20BEEH0010000010,NL05GELD9994551159,135.64,jajajaj,16-11-26-06-2019,Online bankieren
NL20BEEH0010000010,NL56GELD4676822837,532.38,jajajaj,03-57-10-12-2018,Online bankieren
NL20BEEH0010000010,NL76GELD1811996735,946.27,jajajaj,05-44-12-05-2019,Online bankieren
NL20BEEH0010000010,NL77GELD0692885116,113.71,jajajaj,10-17-23-09-2018,Online bankieren
NL20BEEH0010000010,NL13GELD4842992565,484.64,jajajaj,21-55-11-07-2019,Online bankieren
NL20BEEH0010000010,NL67GELD2809687681,176.85,jajajaj,04-46-14-09-2018,Online bankieren
NL20BEEH0010000010,NL77GELD0692885116,902.27,jajajaj,04-23-14-04-2018,Online bankieren
NL20BEEH0010000010,NL35GELD9966193251,558.79,jajajaj,16-01-13-09-2019,Online bankieren
NL20BEEH0010000010,NL05GELD9994551159,29.7,jajajaj,19-45-19-07-2019,Online bankieren
NL20BEEH0010000010,NL56GELD4676822837,846.19,jajajaj,06-55-13-09-2019,Online bankieren
NL20BEEH0010000010,NL56GELD4676822837,807.49,jajajaj,15-10-12-02-2019,Online bankieren
NL20BEEH0010000010,NL13GELD4842992565,346.98,jajajaj,22-51-06-09-2018,Online bankieren
NL20BEEH0010000010,NL13GELD4842992565,779.24,jajajaj,01-12-27-05-2019,Online bankieren
NL20BEEH0010000010,NL05GELD9994551159,472.84,jajajaj,05-53-23-07-2019,Online bankieren
NL20BEEH0010000010,NL69GELD8971642424,300.92,jajajaj,18-50-17-12-2018,Online bankieren
NL20BEEH0010000010,NL76GELD7252785614,63.56,jajajaj,03-59-13-07-2018,Online bankieren
NL20BEEH0010000010,NL76GELD7252785614,29.69,jajajaj,08-11-18-05-2018,Online bankieren
NL20BEEH0010000010,NL69GELD8971642424,991.01,jajajaj,11-12-13-09-2019,Online bankieren
NL20BEEH0010000010,NL55GELD3859628216,491.97,jajajaj,21-52-07-07-2019,Online bankieren
NL20BEEH0010000010,NL35GELD0485561952,122.78,jajajaj,03-52-08-11-2018,Online bankieren
NL20BEEH0010000010,NL55GELD3859628216,689.22,jajajaj,23-37-13-09-2019,Online bankieren
NL20BEEH0010000010,NL77GELD8158598659,209.18,jajajaj,03-39-09-05-2019,Online bankieren
NL90BEEH0010000011,NL92GELD8037356925,925.01,jajajaj,13-10-22-12-2018,Online bankieren
NL90BEEH0010000011,NL75GELD3175762142,152.55,jajajaj,19-25-16-05-2019,Online bankieren
NL90BEEH0010000011,NL56GELD4676822837,73.16,jajajaj,13-07-13-09-2019,Online bankieren
NL90BEEH0010000011,NL35GELD9966193251,122.41,jajajaj,13-29-15-12-2018,Online bankieren
NL90BEEH0010000011,NL95GELD6279133125,842.05,jajajaj,11-18-13-09-2019,Online bankieren
NL90BEEH0010000011,NL45GELD2953919317,758.16,jajajaj,17-36-12-03-2018,Online bankieren
NL90BEEH0010000011,NL13GELD4842992565,561.27,jajajaj,01-34-01-05-2019,Online bankieren
NL90BEEH0010000011,NL92GELD8037356925,176.91,jajajaj,03-39-14-11-2018,Online bankieren
NL90BEEH0010000011,NL55GELD3859628216,471.8,jajajaj,06-04-27-02-2019,Online bankieren
NL90BEEH0010000011,NL95GELD6279133125,616.23,jajajaj,13-19-07-06-2018,Online bankieren
NL90BEEH0010000011,NL35GELD0485561952,731.16,jajajaj,02-57-07-10-2018,Online bankieren
NL90BEEH0010000011,NL05GELD9994551159,199.1,jajajaj,23-44-12-07-2018,Online bankieren
NL90BEEH0010000011,NL35GELD9966193251,788.14,jajajaj,13-53-16-04-2019,Online bankieren
NL90BEEH0010000011,NL76GELD7252785614,469.46,jajajaj,08-47-13-11-2018,Online bankieren
NL90BEEH0010000011,NL35GELD9966193251,335.82,jajajaj,00-39-05-04-2018,Online bankieren
NL90BEEH0010000011,NL04GELD4811557161,59.34,jajajaj,13-08-16-03-2019,Online bankieren
NL90BEEH0010000011,NL92GELD8037356925,639.74,jajajaj,12-34-20-02-2019,Online bankieren
NL90BEEH0010000011,NL75GELD3175762142,755.38,jajajaj,04-37-25-11-2018,Online bankieren
NL90BEEH0010000011,NL76GELD7252785614,715.31,jajajaj,11-05-17-11-2018,Online bankieren
NL90BEEH0010000011,NL76GELD7252785614,976.03,jajajaj,07-26-21-03-2018,Online bankieren
NL90BEEH0010000011,NL75GELD3175762142,469.21,jajajaj,07-48-06-01-2018,Online bankieren
NL90BEEH0010000011,NL69GELD8971642424,42.25,jajajaj,10-33-13-07-2019,Online bankieren
NL90BEEH0010000011,NL75GELD3175762142,825.88,jajajaj,18-09-13-03-2019,Online bankieren
NL90BEEH0010000011,NL04GELD4811557161,158.39,jajajaj,02-12-08-01-2018,Online bankieren
NL90BEEH0010000011,NL04GELD4811557161,96.04,jajajaj,01-44-06-03-2019,Online bankieren
NL90BEEH0010000011,NL76GELD7252785614,415.54,jajajaj,09-32-26-01-2019,Online bankieren
NL63BEEH0010000012,NL75GELD3175762142,967.29,jajajaj,23-40-28-02-2019,Online bankieren
NL63BEEH0010000012,NL04GELD4811557161,283.0,jajajaj,15-11-02-08-2018,Online bankieren
NL63BEEH0010000012,NL62GELD6375239767,17.64,jajajaj,16-55-21-12-2018,Online bankieren
NL63BEEH0010000012,NL76GELD7252785614,283.33,jajajaj,11-26-05-07-2019,Online bankieren
NL63BEEH0010000012,NL77GELD8158598659,358.35,jajajaj,15-00-24-07-2019,Online bankieren
NL63BEEH0010000012,NL62GELD6375239767,32.58,jajajaj,19-09-22-06-2018,Online bankieren
NL63BEEH0010000012,NL13GELD4842992565,291.36,jajajaj,18-39-08-04-2018,Online bankieren
NL63BEEH0010000012,NL45GELD2953919317,735.27,jajajaj,12-45-02-12-2018,Online bankieren
NL63BEEH0010000012,NL76GELD1811996735,450.24,jajajaj,05-24-13-09-2019,Online bankieren
NL63BEEH0010000012,NL05GELD9994551159,289.19,jajajaj,09-26-04-11-2018,Online bankieren
NL63BEEH0010000012,NL76GELD1811996735,282.56,jajajaj,01-31-16-06-2018,Online bankieren
NL63BEEH0010000012,NL45GELD2953919317,142.67,jajajaj,10-38-27-06-2019,Online bankieren
NL63BEEH0010000012,NL13GELD4842992565,828.57,jajajaj,17-30-12-12-2018,Online bankieren
NL63BEEH0010000012,NL77GELD0692885116,345.88,jajajaj,03-02-13-09-2019,Online bankieren
NL63BEEH0010000012,NL77GELD0692885116,647.48,jajajaj,09-06-13-05-2018,Online bankieren
NL63BEEH0010000012,NL77GELD1142882375,48.58,jajajaj,08-29-13-09-2019,Online bankieren
NL63BEEH0010000012,NL77GELD0692885116,589.83,jajajaj,02-31-25-08-2018,Online bankieren
NL63BEEH0010000012,NL61GELD7455324794,473.4,jajajaj,19-11-13-09-2019,Online bankieren
NL63BEEH0010000012,NL95GELD6279133125,995.62,jajajaj,02-36-13-09-2019,Online bankieren
NL63BEEH0010000012,NL04GELD4811557161,739.96,jajajaj,22-28-08-08-2018,Online bankieren
NL63BEEH0010000012,NL56GELD4676822837,831.1,jajajaj,16-59-13-09-2019,Online bankieren
NL63BEEH0010000012,NL77GELD8158598659,691.98,jajajaj,00-52-02-04-2019,Online bankieren
NL36BEEH0010000013,NL95GELD6279133125,373.43,jajajaj,12-45-18-09-2018,Online bankieren
NL36BEEH0010000013,NL55GELD3859628216,925.2,jajajaj,05-47-13-09-2019,Online bankieren
NL36BEEH0010000013,NL45GELD2953919317,783.82,jajajaj,17-56-24-04-2018,Online bankieren
NL36BEEH0010000013,NL69GELD8971642424,22.14,jajajaj,00-27-15-01-2019,Online bankieren
NL36BEEH0010000013,NL62GELD6375239767,848.74,jajajaj,02-02-02-06-2019,Online bankieren
